,DATE,SKU,CUSTOMER,CITY,PRICE,QUANTITY,SALESPERSON
422,2021-01-26,3,129,46,3420.0,200.0,7
423,2021-01-26,3,129,46,0.0,40.0,7
424,2021-01-26,1,244,5,7440.0,40.0,4
425,2021-01-26,1,244,5,0.0,4.0,4
426,2021-01-26,1,244,5,3300.0,60.0,4
427,2021-01-26,1,244,5,0.0,12.0,4
428,2021-01-26,28,522,43,0.0,3.0,3
429,2021-01-26,28,313,7,7500.0,125.0,2
430,2021-01-26,9,244,5,1664.0,32.0,4
431,2021-01-26,37,444,39,15200.0,160.0,4
432,2021-01-26,25,129,46,4860.0,200.0,7
433,2021-01-26,25,129,46,0.0,40.0,7
434,2021-01-26,28,486,39,22500.0,375.0,5
435,2021-01-26,28,285,47,37625.0,875.0,0
436,2021-01-26,25,522,43,6400.0,200.0,3
437,2021-01-26,22,129,46,2754.0,180.0,7
438,2021-01-26,22,129,46,0.0,60.0,7
439,2021-01-26,25,403,45,5320.0,40.0,5
440,2021-01-26,25,403,45,0.0,4.0,5
441,2021-01-26,25,522,43,0.0,40.0,3
442,2021-01-26,30,522,43,2372.88,40.0,3
443,2021-01-26,30,522,43,0.0,8.0,3
444,2021-01-26,8,129,46,2106.0,180.0,7
445,2021-01-26,8,129,46,0.0,60.0,7
446,2021-01-26,28,494,7,1300.0,20.0,2
447,2021-01-26,13,403,45,1700.0,100.0,5
448,2021-01-26,13,403,45,0.0,20.0,5
449,2021-01-26,8,522,43,2880.0,240.0,3
450,2021-01-26,8,522,43,0.0,80.0,3
451,2021-01-26,8,522,43,1000.0,20.0,3
452,2021-01-26,8,522,43,0.0,4.0,3
453,2021-01-26,13,424,18,1700.0,100.0,4
454,2021-01-26,13,424,18,0.0,20.0,4
455,2021-01-26,13,285,47,11000.0,1000.0,0
456,2021-01-26,13,303,45,505.92,8.0,5
457,2021-01-26,27,522,43,3096.0,72.0,3
458,2021-01-26,27,522,43,0.0,24.0,3
459,2021-01-26,11,244,5,661.02,60.0,4
460,2021-01-26,11,244,5,0.0,20.0,4
461,2021-01-26,21,129,46,2754.0,180.0,7
462,2021-01-26,21,129,46,0.0,60.0,7
463,2021-01-26,23,494,7,4100.0,100.0,2
464,2021-01-26,23,494,7,0.0,20.0,2
465,2021-01-26,3,522,43,1900.0,100.0,3
466,2021-01-26,3,522,43,0.0,20.0,3
467,2021-01-26,10,494,7,3300.0,60.0,2
468,2021-01-26,10,494,7,0.0,20.0,2
469,2021-01-26,12,244,5,1620.0,60.0,4
470,2021-01-26,12,244,5,0.0,12.0,4
471,2021-01-26,12,494,7,750.0,60.0,2
472,2021-01-26,12,494,7,0.0,20.0,2
473,2021-01-26,24,129,46,4131.0,270.0,7
474,2021-01-26,24,129,46,0.0,90.0,7
475,2021-01-26,24,244,5,2700.0,180.0,4
476,2021-01-26,24,244,5,0.0,60.0,4
477,2021-01-26,26,129,46,10080.0,400.0,7
478,2021-01-26,26,129,46,0.0,80.0,7
479,2021-01-26,37,499,65,405.0,30.0,2
480,2021-01-26,2,499,65,624.0,40.0,2
481,2021-01-26,3,499,65,380.0,20.0,2
482,2021-01-26,10,499,65,1120.0,20.0,2
483,2021-01-27,1,393,26,3240.0,180.0,0
484,2021-01-27,1,393,26,0.0,60.0,0
485,2021-01-27,28,327,35,195.0,3.0,3
486,2021-01-27,37,327,35,1215.0,90.0,3
487,2021-01-27,37,327,35,0.0,30.0,3
488,2021-01-27,37,327,35,1940.0,20.0,3
489,2021-01-27,25,255,23,2800.0,100.0,5
490,2021-01-27,25,255,23,0.0,20.0,5
491,2021-01-27,22,539,67,4800.0,30.0,5
492,2021-01-27,2,393,26,900.0,60.0,0
493,2021-01-27,13,236,40,340.0,20.0,1
494,2021-01-27,8,539,67,1890.0,180.0,5
495,2021-01-27,8,539,67,0.0,60.0,5
496,2021-01-27,8,539,67,860.0,20.0,5
497,2021-01-27,8,539,67,0.0,4.0,5
498,2021-01-27,13,393,26,1700.0,100.0,0
499,2021-01-27,13,393,26,0.0,20.0,0
500,2021-01-27,13,393,26,2955.0,15.0,0
501,2021-01-27,25,236,40,3300.0,100.0,1
502,2021-01-27,25,236,40,0.0,20.0,1
503,2021-01-27,13,393,26,0.0,1.0,0
504,2021-01-27,27,393,26,960.0,24.0,0
505,2021-01-27,21,539,67,2475.0,15.0,5
506,2021-01-27,23,539,67,3080.0,20.0,5
507,2021-01-27,12,327,35,5100.0,60.0,3
508,2021-01-27,12,327,35,0.0,6.0,3
509,2021-01-27,24,539,67,4710.0,30.0,5
510,2021-01-27,26,393,26,3000.0,100.0,0
511,2021-01-27,26,393,26,0.0,20.0,0
512,2021-01-28,37,377,67,7700.0,80.0,5
513,2021-01-28,17,347,56,48000.0,480.0,0
514,2021-01-28,30,106,45,4759.32,30.0,5
515,2021-01-28,28,106,45,15750.0,250.0,5
516,2021-01-28,28,322,1,7875.0,125.0,5
517,2021-01-28,30,106,45,0.0,3.0,5
518,2021-01-28,10,20,57,18060.0,420.0,0
519,2021-01-28,10,20,57,0.0,140.0,0
520,2021-01-28,10,20,57,3440.0,20.0,0
521,2021-01-28,10,20,57,0.0,4.0,0
522,2021-01-28,12,419,45,2550.0,30.0,5
523,2021-01-28,12,419,45,0.0,3.0,5
524,2021-01-28,26,106,45,2832.0,100.0,5
525,2021-01-28,26,106,45,0.0,40.0,5
526,2021-01-29,28,51,7,24375.0,375.0,2
527,2021-01-29,25,112,13,14303.52,144.0,7
528,2021-01-29,25,112,13,0.0,12.0,7
529,2021-01-29,22,112,13,11145.6,810.0,7
530,2021-01-29,22,112,13,0.0,90.0,7
531,2021-01-29,22,112,13,0.0,180.0,7
532,2021-01-29,27,112,13,4829.76,144.0,7
533,2021-01-29,27,112,13,0.0,48.0,7
534,2021-01-29,11,112,13,612.2,60.0,7
535,2021-01-29,11,112,13,0.0,20.0,7
536,2021-01-29,21,112,13,1238.4,90.0,7
537,2021-01-29,21,112,13,0.0,30.0,7
538,2021-01-29,23,112,13,6772.5,15.0,7
